H (A/m)	        M (A/m)	        I (A)	        B (T)
2931,781109	312195,0062	3,078308598	0,396
2916,187453	311414,8252	3,061935587	0,395
2908,389267	311422,6233	3,053747656	0,395
2904,490174	311426,5224	3,04965369	0,395
2900,593797	311430,4188	3,045562575	0,395
2884,997425	310650,2405	3,029186713	0,394
2888,896518	310646,3414	3,033280679	0,394
2869,403769	310665,8341	3,012813702	0,394
2869,403769	310665,8341	3,012813702	0,394
2857,706491	309085,982	3,000531805	0,392
2846,011928	309097,6765	2,988252759	0,392
2838,213742	309105,4747	2,980064828	0,392
2834,314649	309109,3738	2,975970862	0,392
2826,519179	308321,3946	2,967785782	0,391
2822,620086	308325,2937	2,963691817	0,391
2795,329152	308352,5846	2,935036908	0,391
2803,127337	307549,0117	2,94322484	0,39
2803,127337	307549,0117	2,94322484	0,39
2795,329152	307556,8099	2,935036908	0,39
2795,329152	307556,8099	2,935036908	0,39
2795,329152	307556,8099	2,935036908	0,39
2783,631873	307568,5072	2,922755012	0,39
2775,836403	306780,5279	2,914569932	0,389
2771,93731	306784,427	2,910475966	0,389
2768,038217	306788,3261	2,906382	0,389
2752,444561	306803,9198	2,890008989	0,389
2748,545468	306012,0441	2,885915023	0,388
2736,84819	306023,7414	2,873633127	0,388
2732,951812	305231,8631	2,869542012	0,387
2713,456348	305251,3585	2,849072184	0,387
2717,355441	305247,4594	2,85316615	0,387
2709,559971	305255,2549	2,84498107	0,387
2686,168129	304482,872	2,820420127	0,386
2678,369943	304490,6702	2,812232196	0,386
2643,280823	302934,2099	2,775389357	0,384
2643,280823	302138,4352	2,775389357	0,383
2627,687167	301358,2541	2,759016345	0,382
2623,788074	301362,1532	2,75492238	0,382
2612,093511	301373,8478	2,742643334	0,382
2584,802577	301401,1387	2,713988426	0,382
2565,309828	299829,082	2,693521449	0,38
2561,410735	299832,9811	2,689427483	0,38
2577,004391	299817,3875	2,705800495	0,38
2534,119801	299064,4974	2,660772575	0,379
2487,336117	298315,5063	2,61165069	0,378
2491,23521	297515,8325	2,615744656	0,377
2491,23521	296720,0578	2,615744656	0,376
2483,437024	296727,856	2,607556724	0,376
2475,638839	296735,6542	2,599368793	0,376
2467,843368	295947,6749	2,591183713	0,375
2463,944276	295951,574	2,587089747	0,375
2448,350619	295171,393	2,570716736	0,374
2432,754248	295186,9893	2,554340874	0,374
2421,059685	294402,9092	2,542061828	0,373
2421,059685	294402,9092	2,542061828	0,373
2401,566936	293626,6272	2,521594851	0,372
2397,667843	293630,5263	2,517500885	0,372
2362,578723	292074,066	2,480658046	0,37
2358,67963	292077,9651	2,476564081	0,37
2343,085974	291297,784	2,460191069	0,369
2339,186882	291301,6831	2,456097104	0,369
2292,403198	289756,9174	2,406975219	0,367
2276,809542	288180,9616	2,390602207	0,365
2272,910449	288184,8607	2,386508242	0,365
2253,417701	287408,5787	2,366041265	0,364
2245,619515	287416,3769	2,357853334	0,364
2226,126766	287435,8697	2,337386357	0,364
2214,429488	285856,0175	2,32510446	0,362
2194,936739	285079,7355	2,304637483	0,361
2191,040361	285083,6319	2,300546368	0,361
2187,141268	285087,531	2,296452403	0,361
2159,850334	284319,0472	2,267797495	0,36
2136,458492	282750,8896	2,243236552	0,358
2120,862121	282766,486	2,22686069	0,358
2113,066651	281978,5068	2,21867561	0,357
2113,066651	281182,7321	2,21867561	0,356
2089,674809	280410,3492	2,194114667	0,355
2074,078438	280425,9456	2,177738805	0,355
2066,282967	279637,9663	2,169553725	0,354
2058,484782	279645,7645	2,161365793	0,354
2035,09294	278873,3816	2,136804851	0,353
2019,499284	278093,2006	2,120431839	0,352
2011,701098	277305,224	2,112243908	0,351
2015,600191	277301,3249	2,116337874	0,351
2015,600191	277301,3249	2,116337874	0,351
2015,600191	277301,3249	2,116337874	0,351
2015,600191	277301,3249	2,116337874	0,351
2019,499284	277297,4258	2,120431839	0,351
2019,499284	277297,4258	2,120431839	0,351
1972,715601	275752,6601	2,071309954	0,349
1961,018322	274968,5827	2,059028058	0,348
1924,167008	274209,6593	2,020334951	0,347
1888,032518	271858,4696	1,982394496	0,344
